	craspi01	craspi02	craspi03	craspi04	craspi05	craspi06	craspi07	craspi08	craspi09	craspi10
2017-01-06 13:16:35	50.8125	49.8125	48.1875	50.3125	48.6875	50.3125	49.8125	49.8125	50.8125	48.6875
2017-01-06 13:17:38	51.40625	49.8125	48.1875	50.3125	48.6875	50.8125	49.8125	49.8125	50.8125	48.6875
2017-01-06 13:18:42	50.8125	49.1875	48.6875	50.8125	49.1875	50.3125	50.8125	49.8125	50.8125	48.6875
2017-01-06 13:19:45	50.8125	49.8125	48.6875	50.8125	48.6875	50.8125	49.8125	50.3125	50.8125	49.1875
2017-01-06 13:20:48	50.8125	49.1875	48.6875	50.3125	49.8125	49.8125	49.8125	49.8125	50.8125	49.8125
2017-01-06 13:21:51	50.8125	49.8125	48.1875	50.8125	49.8125	49.8125	49.8125	49.8125	50.8125	48.6875
2017-01-06 13:22:54	50.8125	49.8125	48.6875	50.3125	49.8125	50.3125	49.1875	49.8125	50.8125	48.6875
2017-01-06 13:23:58	50.8125	49.8125	48.6875	50.8125	49.1875	49.8125	49.8125	49.8125	50.8125	49.1875
2017-01-06 13:25:01	51.40625	49.8125	48.6875	50.3125	49.1875	49.8125	50.3125	49.8125	50.3125	48.6875
2017-01-06 13:26:04	50.8125	49.8125	48.6875	50.3125	49.8125	50.8125	49.1875	49.8125	50.8125	48.1875
2017-01-06 13:27:07	50.8125	49.8125	48.1875	50.3125	49.1875	49.8125	50.3125	50.3125	50.8125	48.6875
2017-01-06 13:28:10	51.40625	49.1875	48.6875	50.8125	49.1875	50.3125	49.8125	50.8125	50.8125	48.6875
2017-01-06 13:29:14	50.8125	49.8125	48.6875	50.3125	48.6875	49.8125	49.1875	50.3125	50.3125	48.6875
2017-01-06 13:30:17	50.8125	49.8125	48.6875	50.8125	49.1875	49.8125	49.8125	49.8125	50.3125	48.6875
2017-01-06 13:31:20	50.8125	49.8125	48.6875	50.8125	49.8125	49.8125	50.3125	49.8125	50.8125	48.6875
2017-01-06 13:32:23	50.8125	49.8125	48.6875	50.3125	49.8125	49.8125	50.3125	50.3125	50.8125	48.6875
2017-01-06 13:33:26	50.8125	49.8125	48.6875	50.8125	49.8125	50.8125	50.3125	49.8125	50.8125	49.1875
2017-01-06 13:34:29	51.40625	49.8125	48.6875	50.8125	49.1875	50.8125	49.8125	49.8125	50.8125	49.1875
2017-01-06 13:35:33	50.8125	50.3125	48.6875	50.8125	49.1875	50.3125	49.8125	50.8125	50.8125	48.6875
2017-01-06 13:36:36	50.8125	49.1875	49.1875	50.8125	49.1875	49.8125	48.6875	49.8125	50.8125	48.6875
2017-01-06 13:37:39	50.8125	50.3125	48.6875	50.3125	49.8125	49.8125	49.8125	50.3125	50.8125	48.6875
2017-01-06 13:38:42	51.40625	49.8125	48.6875	50.8125	49.1875	50.3125	49.1875	50.3125	50.8125	48.6875
2017-01-06 13:39:45	50.8125	49.8125	48.6875	50.8125	48.6875	49.1875	49.8125	50.3125	51.40625	48.6875
2017-01-06 13:40:48	50.8125	49.1875	48.6875	50.8125	49.8125	49.8125	50.3125	49.8125	51.40625	48.6875
2017-01-06 13:41:51	50.8125	49.8125	48.6875	50.3125	49.8125	49.8125	50.3125	49.8125	51.90625	49.1875
2017-01-06 13:42:55	50.8125	49.8125	48.6875	50.8125	49.1875	49.8125	50.8125	50.3125	50.8125	49.1875
2017-01-06 13:43:58	50.8125	49.8125	48.6875	50.8125	49.1875	50.8125	49.8125	50.3125	49.8125	49.1875
2017-01-06 13:45:01	50.8125	49.8125	48.6875	50.8125	48.6875	49.8125	50.3125	49.8125	50.3125	49.1875
2017-01-06 13:46:04	50.3125	49.8125	48.1875	50.8125	48.6875	49.8125	49.8125	49.8125	50.8125	48.6875
2017-01-06 13:47:07	50.8125	49.8125	48.6875	50.3125	49.8125	49.1875	49.1875	49.8125	50.3125	48.6875
2017-01-06 13:48:10	50.3125	50.3125	48.6875	50.8125	48.6875	49.1875	49.8125	49.8125	50.8125	48.6875
2017-01-06 13:49:14	50.8125	49.8125	48.6875	50.3125	49.1875	50.3125	49.8125	50.3125	49.8125	48.1875
2017-01-06 13:50:17	50.8125	49.8125	48.6875	50.8125	49.1875	48.6875	50.3125	50.3125	50.8125	48.6875
2017-01-06 13:51:20	50.8125	50.3125	48.6875	50.8125	49.8125	49.8125	49.8125	50.8125	50.8125	48.6875
2017-01-06 13:52:23	48.6875	48.6875	46.5	49.8125	49.1875	49.8125	49.1875	48.6875	50.8125	48.1875
2017-01-06 13:53:26	45.5	45.5	44.40625	46.5	45.5	48.6875	50.3125	46.5	50.8125	48.6875
2017-01-06 13:54:30	45.5	44.40625	43.3125	45.5	44.40625	49.1875	49.1875	45.5	50.8125	48.6875
2017-01-06 13:55:33	44.40625	44.40625	42.8125	45.5	44.40625	49.8125	49.1875	44.90625	50.8125	48.1875
2017-01-06 13:56:36	44.40625	43.3125	42.1875	44.40625	43.3125	49.8125	49.8125	43.90625	50.8125	48.6875
2017-01-06 13:57:40	44.40625	43.3125	42.1875	44.40625	43.3125	49.1875	49.8125	43.90625	50.8125	49.1875
2017-01-06 13:58:43	44.40625	43.3125	42.1875	44.40625	43.3125	49.1875	49.8125	43.3125	50.8125	48.6875
2017-01-06 13:59:46	43.90625	42.8125	42.8125	44.40625	42.8125	49.8125	50.3125	43.3125	50.8125	48.6875
2017-01-06 14:00:50	43.3125	42.8125	42.1875	43.3125	42.8125	49.8125	49.8125	43.3125	51.40625	48.6875
2017-01-06 14:01:53	43.90625	42.1875	41.1875	43.3125	42.1875	49.8125	49.8125	43.3125	50.8125	49.1875
2017-01-06 14:02:56	43.3125	42.1875	42.1875	43.3125	42.1875	49.8125	49.8125	43.3125	47.09375	45.5
2017-01-06 14:04:00	43.90625	42.1875	41.1875	43.3125	42.1875	49.8125	50.8125	42.8125	46.5	44.90625
2017-01-06 14:05:03	43.3125	42.8125	41.1875	43.3125	42.1875	49.8125	47.59375	42.8125	44.90625	43.90625
2017-01-06 14:06:07	43.3125	42.1875	41.1875	43.3125	42.1875	47.09375	46.0	42.8125	45.5	43.90625
2017-01-06 14:07:10	43.3125	42.1875	41.1875	43.3125	42.1875	45.5	45.5	43.3125	44.90625	43.3125
2017-01-06 14:08:13	43.3125	42.1875	41.1875	43.3125	41.6875	44.40625	44.90625	42.8125	44.40625	42.8125
2017-01-06 14:09:17	42.8125	41.6875	41.1875	42.8125	42.1875	44.40625	44.40625	42.1875	44.40625	42.8125
2017-01-06 14:10:20	43.3125	42.1875	41.1875	42.8125	42.8125	43.90625	44.40625	42.1875	44.40625	42.1875
2017-01-06 14:11:23	42.8125	42.1875	41.1875	42.8125	41.6875	43.3125	43.3125	42.1875	44.90625	42.8125
2017-01-06 14:12:27	43.3125	41.1875	41.1875	42.8125	41.1875	43.90625	43.3125	42.1875	44.40625	42.1875
2017-01-06 14:13:30	43.3125	42.1875	41.1875	42.8125	41.6875	43.3125	43.3125	42.1875	43.90625	42.1875
2017-01-06 14:14:33	42.8125	42.1875	41.1875	42.8125	42.1875	43.3125	42.8125	41.6875	44.40625	42.1875
2017-01-06 14:15:37	43.3125	41.6875	41.1875	43.3125	41.6875	42.8125	42.8125	42.1875	43.90625	42.1875
2017-01-06 14:16:40	43.3125	41.6875	41.1875	43.3125	41.1875	43.3125	43.3125	42.1875	43.90625	42.1875
2017-01-06 14:17:44	43.3125	42.1875	41.1875	42.8125	42.1875	43.3125	42.8125	42.1875	43.3125	41.6875
2017-01-06 14:18:47	43.3125	41.1875	41.1875	43.3125	41.6875	42.1875	42.1875	42.1875	44.40625	42.1875
2017-01-06 14:19:51	42.8125	41.6875	41.1875	42.8125	41.6875	42.8125	43.3125	42.1875	43.3125	41.1875
